Run,F1_Score
1,0.6451244119987113
2,0.6549282323075349
3,0.6483663250621764
4,0.6491637023456976
5,0.6466177319778413
6,0.6501396759612171
7,0.647793118933499
8,0.6542418167819891
9,0.6533402522815602
10,0.6455000203538034
