Num_Features,k,F1_Validation
1,1,0.3248089311410161
1,3,0.3329353909604787
1,5,0.3412998528533014
1,7,0.34853945881870235
1,9,0.35369348097018666
1,11,0.35416152821993147
1,13,0.35360717950479975
1,15,0.35424514771592197
2,1,0.39859763884154215
2,3,0.39981592707113023
2,5,0.41704903458641934
2,7,0.4188842805881784
2,9,0.4164288890500564
2,11,0.42225237687974065
2,13,0.4179162574129077
2,15,0.4103415519789701
3,1,0.4083429277598002
3,3,0.42362067222040606
3,5,0.43065325922262987
3,7,0.444782313864286
3,9,0.4375030698660787
3,11,0.4551931812777444
3,13,0.4504949707577034
3,15,0.44161255786931325
4,1,0.4148622733508106
4,3,0.414396716053822
4,5,0.42204964007025997
4,7,0.4128129638479976
4,9,0.41167724327004074
4,11,0.4073005889282024
4,13,0.4072276590094064
4,15,0.4074268071629589
5,1,0.4290853437313711
5,3,0.4330368458603437
5,5,0.44195858929485116
5,7,0.4403141375972692
5,9,0.4453097783358456
5,11,0.44223823677618407
5,13,0.44223730379538473
5,15,0.43907366117131075
6,1,0.43882010995915216
6,3,0.4328957675239652
6,5,0.4486103744585016
6,7,0.4449948574224684
6,9,0.4498556598463478
6,11,0.4473092130036786
6,13,0.4476103965063792
6,15,0.4463451438392619
7,1,0.4573848531754639
7,3,0.4576317388957216
7,5,0.4614565203607474
7,7,0.46536069174768996
7,9,0.46680764041287304
7,11,0.4672769226166689
7,13,0.4627049055382907
7,15,0.46281743836653483
8,1,0.46088103772855377
8,3,0.46057893412141615
8,5,0.46103828769263444
8,7,0.45761511745875383
8,9,0.4673514369015563
8,11,0.45898091383980205
8,13,0.4482055669060782
8,15,0.4430437213485516
9,1,0.46727744303503194
9,3,0.4703121288321062
9,5,0.47559623683851265
9,7,0.47526055086976415
9,9,0.4774851069612362
9,11,0.47338861583835634
9,13,0.47925922511891433
9,15,0.4736093593552117
10,1,0.5094411913973443
10,3,0.5056248939968894
10,5,0.5277460581847294
10,7,0.5284429318484707
10,9,0.5299699243101508
10,11,0.5233973652032093
10,13,0.5245177489049782
10,15,0.5225028541785551
11,1,0.513938196613533
11,3,0.5218681568417554
11,5,0.5277983081479853
11,7,0.526964599459728
11,9,0.5310573103696453
11,11,0.5247501403669937
11,13,0.518800039801918
11,15,0.5166850571259104
12,1,0.5251935416063589
12,3,0.5205621144142737
12,5,0.5265851410196949
12,7,0.5267439648061104
12,9,0.5228178441217193
12,11,0.5147309400768991
12,13,0.5086244623027548
12,15,0.5094278354642625
13,1,0.5428389647390787
13,3,0.5391867457699792
13,5,0.5419073172239937
13,7,0.5398324063798381
13,9,0.543948396657231
13,11,0.5368228711953988
13,13,0.535958439296331
13,15,0.5347827605062639
14,1,0.55155204638825
14,3,0.5452743552661806
14,5,0.5431595788030371
14,7,0.5365702204402621
14,9,0.5423087009898839
14,11,0.5439568235467863
14,13,0.5364521908612604
14,15,0.5437030115268614
15,1,0.5057769338248899
15,3,0.5021634871859079
15,5,0.4979347519154687
15,7,0.5088379444737622
15,9,0.5130795111858356
15,11,0.5100269838316107
15,13,0.506272841528398
15,15,0.5190301971206079
16,1,0.5067125448594346
16,3,0.5032304892903059
16,5,0.493971915262476
16,7,0.5103456533202263
16,9,0.5134959629006915
16,11,0.5078001891479446
16,13,0.49853710567007253
16,15,0.5122397631439392
17,1,0.5436512910121417
17,3,0.5315238229699641
17,5,0.5396976348898647
17,7,0.5461053901121147
17,9,0.5441608906495741
17,11,0.5437438421277604
17,13,0.5512961258314742
17,15,0.5492825919884454
18,1,0.5255889763767307
18,3,0.5367146334814231
18,5,0.5401674901037753
18,7,0.537876403000377
18,9,0.5364578340001086
18,11,0.5351491109499447
18,13,0.5400601777030343
18,15,0.5411704629322827
19,1,0.5316425509837787
19,3,0.5459848173793403
19,5,0.5534190716702034
19,7,0.5467846752261271
19,9,0.5447361435912691
19,11,0.539365385023
19,13,0.5438256561428343
19,15,0.5441944262337332
20,1,0.5364778025244402
20,3,0.5481243850480386
20,5,0.5528689607959667
20,7,0.5502633198851773
20,9,0.5452089433220493
20,11,0.530396538070555
20,13,0.5376821039430704
20,15,0.5391578190934163
21,1,0.5316345807428954
21,3,0.5366153489968329
21,5,0.5406974307841119
21,7,0.5361636904594883
21,9,0.5318668968443866
21,11,0.5306404730552384
21,13,0.5308720493605754
21,15,0.5384981815041296
22,1,0.5358473495232683
22,3,0.5471617025785159
22,5,0.5425998653560054
22,7,0.5371369054961433
22,9,0.540802915371344
22,11,0.5432658305750006
22,13,0.5408495853890444
22,15,0.5386057309376571
23,1,0.5368073602441248
23,3,0.5468099320495166
23,5,0.5457105404018343
23,7,0.534084268974209
23,9,0.5356788854149304
