8097;1084;1056;42;138;18;2;0;12;7;6;1;25;0;0;0
533;2938;1818;1;2;3;0;0;4;231;6;1;0;0;0;1
907;2417;2299;1;3;9;2;2;8;42;7;0;0;0;0;0
300;5;39;3598;3960;1175;374;3;3;3;2;4;2;1;1;2
308;4;34;3324;4435;956;369;4;10;12;1;4;1;1;1;3
3;0;3;953;1461;2764;753;4;2;2;0;3;0;1;2;8
1;0;2;469;797;1305;379;3;0;4;2;6;0;4;0;7
46;81;141;12;51;14;3;7;10;43;12;1;8;0;0;0
198;29;37;8;42;13;4;5;12;16;5;1;7;0;0;0
60;69;128;12;34;16;3;8;10;42;9;0;7;0;0;0
170;21;47;11;63;8;3;4;14;13;6;0;2;0;0;0
19;0;0;81;97;28;1;0;2;2;2;10;1;1;0;8
394;17;45;9;13;1;0;0;0;3;0;0;24;0;0;0
6;1;3;25;84;81;26;1;1;1;3;9;0;1;2;8
1;1;0;21;25;43;10;0;1;0;3;5;0;2;4;9
0;0;1;20;17;45;16;0;0;0;0;9;0;2;2;13
